dragonID,eventUUID,eventTimestamp,utc_offset,eventName,name,type,region,size_ft
4b41d4f3-b597-456c-b99b-e29634349877,312f5353-8abf-4055-8373-c8c6a3f6b492,2020-03-21 00:37:46,-4:00,dragonSpawned,Dutiful Scalenail,Silver,Coastal,97
fc0f2939-9fe9-4778-89c6-d8b1de1e85b5,60b54bb0-79a4-4f7f-8cd9-7fa14a133226,2020-03-21 00:37:46,-4:00,dragonSpawned,Hopeful Tootchest,Rainbow,Coastal,194
cf600f7b-0d53-4816-ad4c-7bffe8de9a0f,8317948c-106e-4fde-883d-2c55fbf8a4f5,2020-03-21 00:37:46,-4:00,dragonSpawned,Misunderstood Starfry,Purple,Riverside,10
9aa30b58-86de-447f-9fce-f1ef2a53f97f,6ccf92ae-89df-4e43-b93d-6dfc4cfc0174,2020-03-21 00:37:46,-4:00,dragonSpawned,Frail Dusknail,Azul,Valley,41
d8487ffb-3761-42be-955a-63a78c734dec,abe2bba7-8aeb-4e5d-9271-f863f4c43013,2020-03-21 00:37:46,-4:00,dragonSpawned,Lovely Berryskull,Purple,Riverside,14
e9d43c9b-40a0-4f72-9da4-75bf0e4ebae2,47306d78-1f29-41b2-a9b9-f33299d13758,2020-03-21 00:37:46,-4:00,dragonSpawned,Appreciative Foghead,Rainbow,Coastal,284
7738adf6-bd74-4f6a-9674-a79d7805126b,dfd7880b-d032-4c41-9a1b-6f02483492a4,2020-03-21 00:37:46,-4:00,dragonSpawned,Fierce Slaypuff,Emerald,Mountains,10
6281ab71-0536-4d27-9fc0-06f3fa433044,8cc926e9-097a-4a57-993a-8b0e65e5bb8d,2020-03-21 00:37:46,-4:00,dragonSpawned,Wishful Burplamp,Garnet,Coastal,13
1727e3a4-1bbe-421f-9cd2-b7ce23de1072,6b641e1c-f5f5-417e-89fd-de76b5990906,2020-03-21 00:37:46,-4:00,dragonSpawned,Fierce Windcryer,Rainbow,Coastal,261
c3ee4392-ef7e-44dc-a6fb-99e0af4f7525,2c5746e7-83a8-471e-a621-a57208ed491c,2020-03-21 00:37:46,-4:00,dragonSpawned,Jeweled Smolderbeet,Azul,Valley,49
c52f7bd1-4e30-4013-a629-30322682be29,33e92b9b-b50d-4f0c-abad-942d93655283,2020-03-21 00:37:46,-4:00,dragonSpawned,Fast Cackleflare,Purple,Riverside,7
76645744-5d3d-4552-b7ee-11a10c66b190,7dd4b376-eac7-487d-b3c2-8e91d7a79b82,2020-03-21 00:37:46,-4:00,dragonSpawned,Ambitious Meepskunk,Azul,Valley,44
03f21944-c7e0-41e0-ad6d-6475d8955e65,5686594a-dded-438d-88ed-0f0f3a7f086d,2020-03-21 00:37:47,-4:00,dragonSpawned,Chatty Ashmonster,Rainbow,Coastal,196
58654bc5-7009-4d8a-8069-ef92a8912ba3,cbf001e1-0556-45ca-92a9-0a858385302e,2020-03-21 00:37:47,-4:00,dragonSpawned,Dutiful Icescooper,Rainbow,Coastal,242
62a1b2e3-ccd2-4c6f-9716-ea2e64ad7112,959ee2df-3a10-4cee-ac70-34a313c1c1c1,2020-03-21 00:37:48,-4:00,dragonSpawned,Whimsical Duskflea,Emerald,Mountains,10
40e70d77-ae9a-4b74-b493-69f078acf02e,b0ee58dd-1a64-400a-918d-21ba9c1f2d73,2020-03-21 00:37:48,-4:00,dragonSpawned,Mournful Shadowray,Silver,Coastal,93
479e0a63-bb5e-4caa-8858-01f825bd643b,f97c7fc4-d3c7-42f7-b4cf-0f19dbbbb7ce,2020-03-21 00:37:48,-4:00,dragonSpawned,Soulful Torchmixer,Bronze,Coastal,45
